SampleID,Colony,Treatment,ReTotGlycConc(mg/mL),WingAvgmm,AbdDryWt
HW002,QP2,CTL,1.036625,4.1,0.1304
HW003,QP2,NS3d,0.404916667,4.25,0.0533
HW007,QP2,PS12d,0.90125,3.9,0.0619
HW008,QP2,PS3d,0.410416667,4.2,0.1377
HW010,QP2,PS6d,0.457,3.75,0.0444
HW011,QP2,PS9d,0.572708333,3.65,0.0592
HW012,MP3,CTL,2.291666667,3.65,0.1366
HW013,MP3,PS3d,1.34875,3.9,0.1041
HW014,QP2,PS3d,1.057,3.8,0.0883
HW015,QP2,NS3d,1.75625,3.85,0.0897
HW018,DR2,CTL,1.968166667,3.9,0.0506
HW019,DR2,NS3d,0.782208333,4.05,0.1261
HW020,DR2,NS6d,5.983333333,NA,0.0685
HW022,QP2,PS12d,0.438375,3.9,0.0707
HW024,DR2,PS3d,1.214333333,4.4,0.1582
HW025,DR2,PS12d,0.661125,4,0.0841
HW026,QP3,CTL,0.681583333,4.2,0.1596
HW029,QP3,PS3d,2.43625,NA,NA
HW031,QP3,PS6d,2.0975,NA,NA
HW032,QP3,PS12d,1.050333333,NA,NA
HW033,QP3,PS9d,0.666916667,NA,NA
HW036,QP3,CTL,1.840833333,NA,NA
HW037,QP3,PS6d,0.437083333,4.1,0.1324
HW038,QP3,PS9d,0.863541667,3.95,0.1041
HW043,QP3,PS6d,0.568125,4.3,0.1324
HW044,QP3,PS9d,0.635083333,4.25,0.101
HW045,QP3,PS6d,0.660875,3.85,0.1076
HW046,QP3,PS9d,0.71,4.1,NA
HW047,QP3,PS12d,1.231708333,4.2,0.1096
HW048,QP3,NS3d,2.00425,4.2,0.1514
HW049,QP3,NS6d,0.398916667,4,0.1183
HW051,QP3,PS3d,0.915958333,4.3,0.1425
HW053,QP3,PS12d,1.01275,4.25,0.1101
HW054,QP3,CTL,1.69875,4.1,0.1442
HW055,QP3,PS6d,0.746708333,4.2,0.1407
HW056,QP3,PS9d,0.922666667,4.2,0.1255
HW057,QP3,PS3d,0.828041667,4.3,0.1418
HW058,QP3,NS3d,5.845333333,3.85,0.1554
HW059,QP3,NS6d,0.335916667,4,0.1283
HW066,BS01,PS9d,1.29075,4.3,0.1055
HW071,WP8,NS6d,1.1155,4.15,0.0733
HW073,MP10,NS6d,1.6,4.25,0.0988
HW075,BS02,NS6d,1.72025,4,0.0657
HW076,BS02,PS6d,0.667791667,3.95,0.0579
HW079,MP10,PS9d,0.357083333,3.8,0.0431
HW084,WP8,PS12d,0.543916667,4.15,0.0913
HW086,BS05,CTL,1.123916667,4.15,0.123
HW087,BS05,NS3d,4.455,4.1,0.0664
HW089,BS05,PS3d,0.393875,3.85,0.0838
HW090,BS05,NS3d,0.4571875,3.8,0.0665
HW091,BS05,PS6d,0.411916667,3.8,0.0533
HW092,BS05,NS3d,0.686291667,3.75,0.0901
HW094,BS05,PS9d,0.326791667,3.8,0.0556
HW095,BS05,PS12d,0.36675,3.65,0.0607
HW096,BS05,NS3d,0.563916667,3.7,0.096
HW097,BS05,CTL,1.126083333,3.8,0.1196
HW099,BS05,CTL,0.336166667,3.65,0.0611
HW101,BS05,PS6d,0.560791667,4,0.0908
HW105,BS05,PS3d,1.264916667,3.7,0.1055
HW106,BS05,PS6d,2.202083333,3.4,0.0328
HW109,BS05,PS12d,0.530375,3.6,0.0528
HW110,BS05,PS3d,0.969708333,3.7,0.1204
HW116,BS05,PS9d,0.809041667,3.7,0.0644
