SampleID,Colony,Treatment,TotSampleConc(mg/mL),WingAvgmm,AbdDryWt
HW002,QP2,CTL,0.011372727,4.1,0.1304
HW003,QP2,NS3d,0.001088667,4.25,0.0533
HW007,QP2,PS12d,0.0007735,3.9,0.0619
HW008,QP2,PS3d,0.011639333,4.2,0.1377
HW012,MP3,CTL,0.009122121,3.65,0.1366
HW013,MP3,PS3d,0.00997697,3.9,0.1041
HW014,QP2,PS3d,0.004835833,3.8,0.0883
HW015,QP2,NS3d,0.001310333,3.85,0.0897
HW016,QP2,NS9d,0.0008225,NA,0.0526
HW018,DR2,CTL,0.0006675,3.9,0.0506
HW019,DR2,NS3d,0.009538,4.05,0.1261
HW020,DR2,NS6d,0.001277333,NA,0.0685
HW022,QP2,PS12d,0.004306333,3.9,0.0707
HW024,DR2,PS3d,0.011545455,4.4,0.1582
HW025,DR2,PS12d,0.005207083,4,0.0841
HW026,QP3,CTL,0.008655417,4.2,0.1596
HW029,QP3,PS3d,0.009082727,NA,NA
HW031,QP3,PS6d,0.009090606,NA,NA
HW032,QP3,PS12d,0.007124848,NA,NA
HW033,QP3,PS9d,0.008021212,NA,NA
HW036,QP3,CTL,0.01310375,NA,NA
HW037,QP3,PS6d,0.013258333,4.1,0.1324
HW038,QP3,PS9d,0.003009091,3.95,0.1041
HW040,QP3,NS6d,0.012606061,NA,0.0801
HW043,QP3,PS6d,0.012385,4.3,0.1324
HW044,QP3,PS9d,0.007344167,4.25,0.101
HW045,QP3,PS6d,0.008002727,3.85,0.1076
HW046,QP3,PS9d,0.005193939,4.1,NA
HW047,QP3,PS12d,0.005459697,4.2,0.1096
HW048,QP3,NS3d,0.011921212,4.2,0.1514
HW049,QP3,NS6d,0.010432727,4,0.1183
HW051,QP3,PS3d,0.011460606,4.3,0.1425
HW053,QP3,PS12d,0.006052727,4.25,0.1101
HW054,QP3,CTL,0.011875758,4.1,0.1442
HW055,QP3,PS6d,0.010870909,4.2,0.1407
HW056,QP3,PS9d,0.007282424,4.2,0.1255
HW057,QP3,PS3d,0.018595833,4.3,0.1418
HW058,QP3,NS3d,0.013804167,3.85,0.1554
HW059,QP3,NS6d,0.01300303,4,0.1283
HW066,BS01,PS9d,0.003984242,4.3,0.1055
HW071,WP8,NS6d,0.001160167,4.15,0.0733
HW073,MP10,NS6d,0.005480667,4.25,0.0988
HW079,MP10,PS9d,0.00111225,3.8,0.0431
HW084,WP8,PS12d,0.001936,4.15,0.0913
HW085,ABS05,PS12d,0.002493636,NA,0.0435
HW086,ABS05,CTL,0.007278182,4.15,0.123
HW089,ABS05,PS3d,0.005427879,3.85,0.0838
HW090,ABS05,NS3d,0.004001818,3.8,0.0665
HW091,ABS05,PS6d,0.001486,3.8,0.0533
HW092,ABS05,NS3d,0.007570833,3.75,0.0901
HW094,ABS05,PS9d,0.001646,3.8,0.0556
HW095,ABS05,PS12d,0.002716,3.65,0.0607
HW096,ABS05,NS3d,0.004495833,3.7,0.096
HW097,ABS05,CTL,0.007785758,3.8,0.1196
HW098,ABS05,CTL,0.000826444,NA,0.0259
HW099,ABS05,CTL,0.0053855,3.65,0.0611
HW100,ABS05,PS3d,0.006575152,NA,0.0772
HW101,ABS05,PS6d,0.004135152,4,0.0908
HW105,ABS05,PS3d,0.005940909,3.7,0.1055
HW108,ABS05,PS9d,0.0006605,NA,0.0296
HW110,ABS05,PS3d,0.013084848,3.7,0.1204
HW116,ABS05,PS9d,0.004258667,3.7,0.0644
