SampleID,Colony,Treatment,StartWeight(g),Weight_d3,Weight_d6,Weight_d9,EndWeight(g)_d12,WingAvgmm
HW001,QP2,control,0.5989,0.6205,0.6499,0.6935,0.6594,4.3
HW002,QP2,control,0.4821,0.5154,0.5594,0.5977,0.5951,4.1
HW012,MP3,control,0.5359,0.5441,0.5863,0.6079,0.6322,3.65
HW018,DR2,control,0.5083,0.531,0.5034,0.5446,0.5789,3.9
HW026,QP3,control,0.6291,0.6754,0.7205,0.6645,0.7208,4.2
HW036,QP3,control,0.6113,0.7218,0.6738,0.7755,0.753,NA
HW054,QP3,control,0.5182,0.6191,0.68,0.6246,0.6452,4.1
HW086,ABS05,control,0.5058,0.5709,0.5851,0.6011,0.5999,4.15
HW097,ABS05,control,0.442,0.455,0.5197,0.5096,0.5411,3.8
HW098,ABS05,control,0.2802,0.287,0.3367,0.3212,0.2758,3.8
HW099,ABS05,control,0.3474,0.4113,0.3957,0.351,0.4151,3.65
HW006,QP2,NS12d,0.5216,0.3577,NA,NA,NA,4.25
HW017,QP2,NS12d,0.404,NA,NA,NA,NA,3.2
HW021,DR2,NS12d,0.5775,0.4001,0.3846,NA,NA,NA
HW034,QP3,NS12d,0.6173,0.5003,NA,NA,NA,4.2
HW042,QP3,NS12d,0.5963,0.4389,NA,NA,NA,4.25
HW052,QP3,NS12d,0.5379,0.4889,0.3896,NA,NA,4.15
HW082,BS03,NS12d,0.5148,0.4301,NA,NA,NA,4
HW003,QP2,NS3d,0.5173,0.3557,0.6203,0.5754,0.6212,4.25
HW015,QP2,NS3d,0.4686,0.5275,0.4928,0.5307,0.4996,3.85
HW019,DR2,NS3d,0.5695,0.6179,0.5414,0.6122,0.5712,4.05
HW048,QP3,NS3d,0.5511,0.5272,0.5861,0.6359,0.6825,4.2
HW058,QP3,NS3d,0.5163,0.5353,0.5884,0.6202,0.697,3.85
HW061,WP9,NS3d,0.3814,0.2422,NA,NA,NA,3.75
HW067,BS01,NS3d,0.5196,NA,NA,NA,NA,NA
HW068,MP10,NS3d,0.7157,0.4395,0.3784,NA,NA,4.3
HW069,WP9,NS3d,0.4802,0.3478,0.3022,NA,0.2942,4
HW072,WP8,NS3d,0.3595,0.3202,0.4985,0.4101,NA,3.95
HW087,ABS05,NS3d,0.5435,0.4081,0.5321,0.5983,0.6357,4.1
HW090,ABS05,NS3d,0.4154,0.2769,0.42,0.4884,0.4859,3.8
HW092,ABS05,NS3d,0.3954,0.4152,0.3765,0.404,0.4618,3.75
HW096,ABS05,NS3d,0.429,0.3559,0.4905,0.5182,0.4843,3.7
HW114,ABS05,NS3d,0.3817,NA,NA,NA,NA,3.6
HW004,QP2,NS6d,0.5209,0.3449,NA,NA,NA,4
HW020,DR2,NS6d,0.6381,0.5761,0.4714,0.6559,0.6407,NA
HW027,QP2,NS6d,0.3864,0.3929,0.3191,0.4015,0.4811,3.75
HW030,QP3,NS6d,0.6102,0.4501,NA,NA,NA,4.35
HW040,QP3,NS6d,0.5045,0.4654,0.3705,0.5344,0.5442,3.9
HW049,QP3,NS6d,0.5963,0.4709,0.4642,0.5971,0.6239,4
HW059,QP3,NS6d,0.4975,0.4801,0.4425,0.5287,0.5711,4
HW070,WP7,NS6d,0.541,0.4155,0.3933,NA,NA,4.05
HW071,WP8,NS6d,0.5905,0.5298,0.422,0.5269,0.5696,4.15
HW073,MP10,NS6d,0.6865,0.6204,0.4875,0.7371,0.6592,4.25
HW075,BS02,NS6d,0.5131,0.4595,0.2979,0.5657,0.5943,4
HW088,ABS05,NS6d,0.4999,0.4269,0.3176,NA,NA,3.9
HW104,ABS05,NS6d,0.5143,0.3522,NA,NA,NA,3.85
HW111,ABS05,NS6d,0.4201,0.2938,NA,NA,NA,3.85
HW115,ABS05,NS6d,0.3166,0.2592,NA,NA,NA,3.35
HW117,ABS05,NS6d,0.5559,0.3867,NA,NA,NA,NA
HW016,QP2,NS9d,0.443,0.4642,0.3383,0.3749,0.4659,3.8
HW023,DR2,NS9d,0.6517,0.486,NA,NA,NA,NA
HW035,QP3,NS9d,0.619,0.4704,0.4466,0.4036,NA,4.2
HW039,QP3,NS9d,0.5501,0.3921,0.3957,NA,NA,4
HW041,QP3,NS9d,0.5975,0.4314,NA,NA,NA,4.15
HW050,QP3,NS9d,0.672,0.4666,NA,NA,NA,4.4
HW060,QP3,NS9d,0.5583,0.5911,0.5131,NA,NA,NA
HW078,MP10,NS9d,0.4488,0.3943,NA,NA,NA,3.75
HW093,ABS05,NS9d,0.4011,0.3084,NA,NA,NA,4
HW102,ABS05,NS9d,0.5038,0.3812,0.3179,0.3644,0.5571,3.9
HW107,ABS05,NS9d,0.4351,0.3342,0.2719,NA,NA,3.7
HW112,ABS05,NS9d,0.4182,0.3127,NA,NA,NA,3.75
HW007,QP2,PS12d,0.4365,0.4355,0.4863,0.4954,0.4894,3.9
HW022,QP2,PS12d,0.489,0.448,0.4928,0.5039,0.5294,3.9
HW025,DR2,PS12d,0.5229,0.4266,0.5638,0.5505,0.6399,4
HW032,QP3,PS12d,0.621,0.5691,0.6619,0.6348,0.6579,NA
HW047,QP3,PS12d,0.5864,0.5381,0.5901,0.6704,0.6205,4.2
HW053,QP3,PS12d,0.5605,0.5119,0.591,0.644,0.6238,4.25
HW081,BS03,PS12d,0.3368,0.3747,0.2974,0.3779,0.3768,3.5
HW084,WP8,PS12d,0.6332,0.5631,0.6588,0.7513,0.7643,4.15
HW085,ABS05,PS12d,0.5001,0.4128,0.4794,0.51,0.4858,3.9
HW095,ABS05,PS12d,0.4414,0.3867,0.4511,0.4551,0.4397,3.65
HW109,ABS05,PS12d,0.4251,0.3827,0.38,0.3624,0.4014,3.6
HW008,QP2,PS3d,0.5422,0.5238,0.5944,0.6371,0.6732,4.2
HW009,QP1,PS3d,0.5369,0.6551,0.678,0.6566,0.7065,4.3
HW013,MP3,PS3d,0.5224,0.4638,0.5228,0.5359,0.5367,3.9
HW014,QP2,PS3d,0.4522,0.3789,0.4832,0.5087,0.5141,3.8
HW024,DR2,PS3d,0.639,0.5875,0.7168,0.6949,0.7429,4.4
HW029,QP3,PS3d,0.6168,0.5627,0.6395,0.7138,0.6845,NA
HW051,QP3,PS3d,0.5864,0.6414,0.6681,0.6718,0.6688,4.3
HW057,QP3,PS3d,0.6261,0.5685,0.6728,0.6755,0.7169,4.3
HW062,WP7,PS3d,0.4227,0.3385,0.4081,0.4249,0.4784,3.6
HW089,ABS05,PS3d,0.4028,0.4141,0.48,0.4955,0.494,3.85
HW100,ABS05,PS3d,0.4816,0.4291,0.5073,0.5147,0.4654,3.8
HW105,ABS05,PS3d,0.4328,0.4288,0.4533,0.5024,0.5217,3.7
HW110,ABS05,PS3d,0.4101,0.4581,0.4631,0.4865,0.5153,3.7
HW010,QP2,PS6d,0.4008,0.3477,0.4442,0.4781,0.4897,3.75
HW031,QP3,PS6d,0.6406,0.7016,0.7053,0.848,0.7958,NA
HW037,QP3,PS6d,0.5689,0.5605,0.6553,0.7139,0.6744,4.1
HW043,QP3,PS6d,0.6343,0.546,0.6842,0.7195,0.7038,4.3
HW045,QP3,PS6d,0.4972,0.4786,0.5722,0.6005,0.6027,3.85
HW055,QP3,PS6d,0.6063,0.6364,0.7194,0.6804,0.6964,4.2
HW065,WP9,PS6d,0.501,0.512,0.5095,0.4636,0.5026,3.75
HW074,BS01,PS6d,0.5465,0.605,0.5648,0.5924,0.6009,4.2
HW076,BS02,PS6d,0.5304,0.5008,0.5871,0.6239,0.5962,3.95
HW077,WP8,PS6d,0.4036,0.3354,0.4081,0.4019,0.4326,3.6
HW091,ABS05,PS6d,0.4359,0.3625,0.399,0.3793,0.457,3.8
HW101,ABS05,PS6d,0.4875,0.5413,0.585,0.6158,0.6484,4
HW106,ABS05,PS6d,0.3188,0.2491,0.3509,0.3379,0.3659,3.4
HW113,ABS05,PS6d,0.2746,0.2482,0.2837,0.2821,0.2524,3.15
HW011,QP2,PS9d,0.3923,0.3463,0.4145,0.4642,0.4825,3.65
HW033,QP3,PS9d,0.608,0.6782,0.59,0.6185,0.6969,NA
HW038,QP3,PS9d,0.5532,0.5348,0.5837,0.6302,0.6473,3.95
HW044,QP3,PS9d,0.6482,0.5857,0.6275,0.6725,0.6745,4.25
HW046,QP3,PS9d,0.6241,0.6642,0.6027,0.6308,0.6658,4.1
HW056,QP3,PS9d,0.5723,0.5566,0.6385,0.6749,0.6566,4.2
HW066,BS01,PS9d,0.6816,0.7399,0.8238,0.8047,0.7958,4.3
HW079,MP10,PS9d,0.4589,0.4367,0.4169,0.4452,0.4652,3.8
HW080,MP10,PS9d,0.5048,0.5061,0.4753,0.5609,0.4543,3.9
HW094,ABS05,PS9d,0.3941,0.3759,0.4258,0.4142,0.4057,3.8
HW103,ABS05,PS9d,0.2941,0.2914,0.3271,0.2812,0.2764,3.3
HW108,ABS05,PS9d,0.2754,0.2795,0.2772,0.3184,0.3013,3.3
HW116,ABS05,PS9d,0.4587,0.4394,0.4404,0.4417,0.436,3.7
