SampleID,Colony,Treatment,timepoint,weight,WingAvgmm
HW001,QP2,control,0,0.5989,4.3
HW001,QP2,control,3,0.6205,4.3
HW001,QP2,control,6,0.6499,4.3
HW001,QP2,control,9,0.6935,4.3
HW001,QP2,control,12,0.6594,4.3
HW002,QP2,control,0,0.4821,4.1
HW002,QP2,control,3,0.5154,4.1
HW002,QP2,control,6,0.5594,4.1
HW002,QP2,control,9,0.5977,4.1
HW002,QP2,control,12,0.5951,4.1
HW003,QP2,NS3d,0,0.5173,4.25
HW003,QP2,NS3d,3,0.3557,4.25
HW003,QP2,NS3d,6,0.6203,4.25
HW003,QP2,NS3d,9,0.5754,4.25
HW003,QP2,NS3d,12,0.6212,4.25
HW007,QP2,PS12d,0,0.4365,3.9
HW007,QP2,PS12d,3,0.4355,3.9
HW007,QP2,PS12d,6,0.4863,3.9
HW007,QP2,PS12d,9,0.4954,3.9
HW007,QP2,PS12d,12,0.4894,3.9
HW008,QP2,PS3d,0,0.5422,4.2
HW008,QP2,PS3d,3,0.5238,4.2
HW008,QP2,PS3d,6,0.5944,4.2
HW008,QP2,PS3d,9,0.6371,4.2
HW008,QP2,PS3d,12,0.6732,4.2
HW009,QP1,PS3d,0,0.5369,4.3
HW009,QP1,PS3d,3,0.6551,4.3
HW009,QP1,PS3d,6,0.678,4.3
HW009,QP1,PS3d,9,0.6566,4.3
HW009,QP1,PS3d,12,0.7065,4.3
HW010,QP2,PS6d,0,0.4008,3.75
HW010,QP2,PS6d,3,0.3477,3.75
HW010,QP2,PS6d,6,0.4442,3.75
HW010,QP2,PS6d,9,0.4781,3.75
HW010,QP2,PS6d,12,0.4897,3.75
HW011,QP2,PS9d,0,0.3923,3.65
HW011,QP2,PS9d,3,0.3463,3.65
HW011,QP2,PS9d,6,0.4145,3.65
HW011,QP2,PS9d,9,0.4642,3.65
HW011,QP2,PS9d,12,0.4825,3.65
HW012,MP3,control,0,0.5359,3.65
HW012,MP3,control,3,0.5441,3.65
HW012,MP3,control,6,0.5863,3.65
HW012,MP3,control,9,0.6079,3.65
HW012,MP3,control,12,0.6322,3.65
HW013,MP3,PS3d,0,0.5224,3.9
HW013,MP3,PS3d,3,0.4638,3.9
HW013,MP3,PS3d,6,0.5228,3.9
HW013,MP3,PS3d,9,0.5359,3.9
HW013,MP3,PS3d,12,0.5367,3.9
HW014,QP2,PS3d,0,0.4522,3.8
HW014,QP2,PS3d,3,0.3789,3.8
HW014,QP2,PS3d,6,0.4832,3.8
HW014,QP2,PS3d,9,0.5087,3.8
HW014,QP2,PS3d,12,0.5141,3.8
HW015,QP2,NS3d,0,0.4686,3.85
HW015,QP2,NS3d,3,0.5275,3.85
HW015,QP2,NS3d,6,0.4928,3.85
HW015,QP2,NS3d,9,0.5307,3.85
HW015,QP2,NS3d,12,0.4996,3.85
HW016,QP2,NS9d,0,0.443,3.8
HW016,QP2,NS9d,3,0.4642,3.8
HW016,QP2,NS9d,6,0.3383,3.8
HW016,QP2,NS9d,9,0.3749,3.8
HW016,QP2,NS9d,12,0.4659,3.8
HW018,DR2,control,0,0.5083,3.9
HW018,DR2,control,3,0.531,3.9
