Treatment,Days,PropAlive
CTL,0,1
CTL,3,1
CTL,6,1
CTL,9,1
CTL,12,1
NS3d,0,1
NS3d,3,0.866666667
NS3d,6,0.8
NS3d,9,0.666666667
NS3d,12,0.6
NS6d,0,1
NS6d,3,1
NS6d,6,0.571428571
NS6d,9,0.5
NS6d,12,0.5
NS9d,0,1
NS9d,3,1
NS9d,6,0.538461538
NS9d,9,0.307692308
NS9d,12,0.230769231
NS12d,0,1
NS12d,3,0.833333333
NS12d,6,0.333333333
NS12d,9,0
NS12d,12,0
PS3d,0,1
PS3d,3,1
PS3d,6,1
PS3d,9,1
PS3d,12,1
PS6d,0,1
PS6d,3,1
PS6d,6,1
PS6d,9,1
PS6d,12,1
PS9d,0,1
PS9d,3,1
PS9d,6,1
PS9d,9,1
PS9d,12,1
PS12d,0,1
PS12d,3,1
PS12d,6,1
PS12d,9,1
PS12d,12,1
